,lab
1249,IGI
1250,GIA
1251,GIA
1252,GIA
1253,GIA
1254,GIA
1255,GIA
1256,IGI
1257,GIA
1258,IGI
1259,IGI
1260,GIA
1261,GIA
1262,GIA
1263,GIA
1264,GIA
1265,IGI
1266,IGI
1267,GIA
1268,GIA
1269,IGI
1270,GIA
1271,GIA
1272,GIA
1273,GIA
1274,GIA
1275,GIA
1276,GIA
1277,GIA
1278,GIA
1279,GIA
1280,GIA
1281,GIA
1282,GIA
1283,GIA
1284,GIA
1285,GIA
1286,HRD
1287,GIA
1288,GIA
1289,GIA
1290,GIA
1291,GIA
1292,GIA
1293,GIA
1294,GIA
1295,IGI
1296,GIA
1297,GIA
1298,GIA
1299,GIA
1300,GIA
1301,GIA
1302,GIA
1303,IGI
1304,GIA
1305,GIA
1306,GIA
1307,GIA
1308,GIA
1309,IGI
1310,IGI
1311,GIA
1312,GIA
1313,GIA
1314,GIA
1315,GIA
1316,GIA
1317,GIA
1318,GIA
1319,GIA
1320,GIA
1321,GIA
1322,GIA
1323,GIA
1324,GIA
1325,GIA
1326,GIA
1327,GIA
1328,GIA
1329,GIA
1330,GIA
1331,GIA
1332,GIA
1333,GIA
1334,GIA
1335,GIA
1336,GIA
1337,GIA
1338,GIA
1339,GIA
1340,GIA
1341,GIA
1342,IGI
1343,GIA
1344,IGI
1345,IGI
1346,IGI
1347,IGI
1348,IGI
1349,GIA
1350,IGI
1351,GIA
1352,IGI
1353,GIA
1354,GIA
1355,GIA
1356,GIA
1357,GIA
1358,GIA
1359,GIA
1360,GIA
1361,GIA
1362,GIA
1363,GIA
1364,GIA
1365,HRD
1366,GIA
1367,GIA
1368,GIA
1369,GIA
1370,GIA
1371,GIA
1372,IGI
1373,IGI
1374,IGI
1375,IGI
1376,IGI
1377,IGI
1378,IGI
1379,GIA
1380,GIA
1381,IGI
1382,GIA
1383,GIA
1384,IGI
1385,IGI
1386,IGI
1387,GIA
1388,IGI
1389,GIA
1390,GIA
1391,IGI
1392,IGI
1393,IGI
1394,IGI
1395,GIA
1396,GIA
1397,GIA
1398,GIA
1399,GIA
1400,GIA
1401,GIA
1402,GIA
1403,GIA
1404,GIA
1405,GIA
1406,GIA
1407,GIA
1408,GIA
1409,GIA
1410,GIA
1411,GIA
1412,GIA
1413,GIA
1414,GIA
1415,GIA
1416,GIA
1417,GIA
1418,GIA
1419,GIA
1420,GIA
1421,GIA
1422,GIA
1423,GIA
1424,GIA
1425,GIA
1426,GIA
1427,IGI
1428,GIA
1429,GIA
1430,GIA
1431,GIA
1432,GIA
1433,GIA
1434,GIA
1435,GIA
1436,GIA
1437,IGI
1438,IGI
